id,rank,pop,core,names,name,source
8970,295,2057412,Y,"[""Porto"", ""Vila Nova de Gaia""]",Porto-Vila Nova de Gaia,OSM
26485,296,2050838,Y,"[""Doha""]",Doha,OSM
16492,297,2036619,Y,"[""Beirut""]",Beirut,OSM
864,298,2035005,Y,"[""Newcastle upon Tyne""]",Newcastle upon Tyne,OSM
15138,299,2032127,Y,"[""Rabat""]",Rabat,OSM
31481,300,2024965,Y,"[""Mandalay""]",Mandalay,OSM
10587,301,2021007,Y,"[""Sacramento""]",Sacramento,OSM
3856,302,2018875,Y,"[""Stuttgart""]",Stuttgart,OSM
22232,303,2015802,Y,"[""Yiwu""]",Yiwu,OSM
26284,304,2015750,Y,"[""Ganzhou""]",Ganzhou,OSM
50801,305,2001541,Y,"[""El Alto"", ""La Paz""]",El Alto-La Paz,OSM
33798,306,1988753,Y,"[""Nashik""]",Nashik,OSM
19589,307,1978492,Y,"[""Wuhu""]",Wuhu,OSM
16139,308,1972562,Y,"[""Suqian""]",Suqian,OSM
47102,309,1964119,Y,"[""Goma""]",Goma,OSM
30782,310,1958561,Y,"[""Havana""]",Havana,OSM
16236,311,1956734,Y,"[""Okayama"", ""Kurashiki"", ""Fukuyama""]",Okayama-Kurashiki-Fukuyama,OSM
18849,312,1951591,Y,"[""Ahwaz""]",Ahwaz,OSM
31217,313,1948639,Y,"[""Jamshedpur""]",Jamshedpur,OSM
50954,314,1940949,Y,"[""Santa Cruz de la Sierra""]",Santa Cruz de la Sierra,OSM
45245,315,1935388,Y,"[""George Town"", ""Bukit Mertajam""]",George Town-Bukit Mertajam,OSM
10630,316,1917838,Y,"[""St. Louis""]",St. Louis,OSM
48938,317,1899098,Y,"[""Kota Sumenep"", ""Pamekasan"", ""Sampang""]",Kota Sumenep-Pamekasan-Sampang,OSM
14608,318,1897307,Y,"[""Xinxiang""]",Xinxiang,OSM
11092,319,1896245,Y,"[""Yinchuan""]",Yinchuan,OSM
13545,320,1894247,Y,"[""Mengyin""]",Mengyin,OSM
12016,321,1892589,Y,"[""Xining""]",Xining,OSM
17585,322,1877863,Y,"[""Tripoli""]",Tripoli,OSM
51484,323,1876901,Y,"[""Serra"", ""Vila Velha"", ""Cariacica""]",Serra-Vila Velha-Cariacica,OSM
38976,324,1875835,Y,"[""N'Djamena""]",N'Djamena,OSM
42292,325,1863651,Y,"[""Freetown""]",Freetown,OSM
4840,326,1853759,Y,"[""Zurich""]",Zurich,OSM
29827,327,1829315,Y,"[""Ranchi""]",Ranchi,OSM
33107,328,1811855,Y,"[""Chhatrapati Sambhajinagar""]",Chhatrapati Sambhajinagar,OSM
40744,329,1804680,Y,"[""Kaduna""]",Kaduna,OSM
35786,330,1796582,Y,"[""Vijayawada""]",Vijayawada,OSM
44232,331,1792501,Y,"[""Benin City""]",Benin City,OSM
43862,332,1785731,Y,"[""Monrovia""]",Monrovia,OSM
19737,333,1769830,Y,"[""Austin""]",Austin,OSM
10201,334,1766326,Y,"[""Samarkand""]",Samarkand,OSM
9434,335,1764536,Y,"[""Kokand""]",Kokand,OSM
2643,336,1762651,Y,"[""Aachen""]",Aachen,OSM
840,337,1751371,Y,"[""Glasgow""]",Glasgow,OSM
40164,338,1749325,Y,"[""Salem""]",Salem,OSM
47136,339,1746476,Y,"[""Kigali""]",Kigali,OSM
52402,340,1736178,Y,"[""Asuncion"", ""San Lorenzo""]",Asuncion-San Lorenzo,OSM
7416,341,1731205,Y,"[""Jilin City""]",Jilin City,OSM
36707,342,1719330,Y,"[""Da Nang""]",Da Nang,OSM
22778,343,1719171,Y,"[""Aligarh""]",Aligarh,OSM
1084,344,1714075,Y,"[""Novosibirsk""]",Novosibirsk,OSM
46435,345,1713125,Y,"[""Beni""]",Beni,OSM
10328,346,1710384,Y,"[""Datong""]",Datong,OSM
17011,347,1705826,Y,"[""Luohe""]",Luohe,OSM
18424,348,1703039,Y,"[""Huainan""]",Huainan,OSM
25731,349,1702479,Y,"[""Biratnagar""]",Biratnagar,OSM
32314,350,1701962,Y,"[""Raipur""]",Raipur,OSM
30208,351,1700717,Y,"[""Cumilla""]",Cumilla,OSM
13016,352,1697706,Y,"[""Mosul""]",Mosul,OSM
52299,353,1696600,Y,"[""Santos"", ""Praia Grande""]",Santos-Praia Grande,OSM
33472,354,1680003,Y,"[""Haikou""]",Haikou,OSM
53595,355,1675106,Y,"[""Montevideo""]",Montevideo,OSM
11747,356,1669181,Y,"[""Gaziantep""]",Gaziantep,OSM
29731,357,1667608,Y,"[""Jabalpur""]",Jabalpur,OSM
22831,358,1666550,Y,"[""Bareilly""]",Bareilly,OSM
